ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2022-07-12T00:00:00.000000000Z,35,2,4861,2300.310000000,2339.490000000,2273.960000000,2278.000000000,533885,GOOGL
2022-07-13T00:00:00.000000000Z,35,2,7086,163.330000000,165.500000000,159.320000000,162.600000000,4861265,META
2022-07-13T00:00:00.000000000Z,35,2,532,76.540000000,79.120000000,74.090000000,76.950000000,9898694,AMD
2022-07-13T00:00:00.000000000Z,35,2,4591,26.260000000,27.370000000,25.760000000,26.920000000,4060432,GDX
2022-07-13T00:00:00.000000000Z,35,2,4861,2285.000000000,2290.700000000,2210.000000000,2212.200000000,709440,GOOGL
2022-07-13T00:00:00.000000000Z,35,2,7386,254.500000000,256.610000000,247.010000000,251.070000000,9993835,MSFT
2022-07-13T00:00:00.000000000Z,35,2,10303,380.800000000,385.600000000,373.810000000,376.510000000,11930273,SPY
2022-07-13T00:00:00.000000000Z,35,2,7637,174.940000000,179.150000000,169.460000000,175.000000000,2670859,NFLX
2022-07-13T00:00:00.000000000Z,35,2,11005,699.860000000,726.130000000,671.700000000,704.400000000,6654653,TSLA
2022-07-13T00:00:00.000000000Z,35,2,9509,134.820000000,135.210000000,132.820000000,134.430000000,315133,RSP
2022-07-13T00:00:00.000000000Z,35,2,7918,151.570000000,153.750000000,144.640000000,150.190000000,9453110,NVDA
2022-07-13T00:00:00.000000000Z,35,2,27,146.330000000,147.950000000,142.140000000,144.370000000,17122953,AAPL
2022-07-13T00:00:00.000000000Z,35,2,589,109.300000000,111.780000000,106.010000000,109.600000000,13492560,AMZN
2022-07-13T00:00:00.000000000Z,35,2,8169,70.110000000,70.700000000,68.780000000,69.110000000,631760,ORCL
2022-07-14T00:00:00.000000000Z,35,2,9511,132.880000000,133.500000000,131.480000000,133.290000000,326308,RSP
2022-07-14T00:00:00.000000000Z,35,2,7380,250.850000000,255.590000000,245.940000000,255.500000000,7818507,MSFT
2022-07-14T00:00:00.000000000Z,35,2,589,109.500000000,111.660000000,107.580000000,111.250000000,10601888,AMZN
2022-07-14T00:00:00.000000000Z,35,2,7914,150.600000000,155.330000000,147.290000000,155.300000000,8140317,NVDA
2022-07-14T00:00:00.000000000Z,35,2,4588,26.440000000,26.440000000,24.925000000,25.750000000,5634653,GDX
2022-07-14T00:00:00.000000000Z,35,2,7079,162.200000000,162.790000000,157.290000000,159.380000000,6577975,META
2022-07-14T00:00:00.000000000Z,35,2,27,144.710000000,149.380000000,143.250000000,149.290000000,16251285,AAPL
2022-07-14T00:00:00.000000000Z,35,2,4855,2212.070000000,2224.000000000,2167.270000000,2223.990000000,595717,GOOGL
2022-07-14T00:00:00.000000000Z,35,2,10302,376.100000000,379.490000000,371.050000000,379.490000000,11082648,SPY
2022-07-14T00:00:00.000000000Z,35,2,8166,69.550000000,69.870000000,68.230000000,69.500000000,517262,ORCL
2022-07-14T00:00:00.000000000Z,35,2,11004,708.480000000,718.510000000,688.040000000,718.350000000,5169724,TSLA
2022-07-14T00:00:00.000000000Z,35,2,7631,175.230000000,177.500000000,171.830000000,175.350000000,2088117,NFLX
2022-07-14T00:00:00.000000000Z,35,2,532,77.300000000,79.250000000,76.000000000,79.150000000,11149480,AMD
2022-07-15T00:00:00.000000000Z,35,2,27,148.320000000,150.860000000,148.000000000,150.050000000,22990556,AAPL
2022-07-15T00:00:00.000000000Z,35,2,7915,154.780000000,158.520000000,153.650000000,158.210000000,8469069,NVDA
2022-07-15T00:00:00.000000000Z,35,2,8167,69.400000000,70.870000000,69.150000000,70.870000000,574752,ORCL
2022-07-15T00:00:00.000000000Z,35,2,7381,254.930000000,260.360000000,253.030000000,256.800000000,11457533,MSFT
2022-07-15T00:00:00.000000000Z,35,2,4856,2210.010000000,2262.000000000,2205.200000000,2242.800000000,734312,GOOGL
2022-07-15T00:00:00.000000000Z,35,2,7632,174.780000000,190.500000000,173.930000000,190.250000000,3744034,NFLX
2022-07-15T00:00:00.000000000Z,35,2,589,110.730000000,115.590000000,110.450000000,113.600000000,20948909,AMZN
2022-07-15T00:00:00.000000000Z,35,2,532,78.920000000,81.210000000,77.910000000,81.070000000,12388613,AMD
2022-07-15T00:00:00.000000000Z,35,2,4589,25.720000000,26.130000000,25.135000000,25.570000000,2618341,GDX
2022-07-15T00:00:00.000000000Z,35,2,10303,378.110000000,385.370000000,377.580000000,385.190000000,9516234,SPY
2022-07-15T00:00:00.000000000Z,35,2,7080,159.130000000,165.050000000,157.890000000,164.910000000,6805753,META
2022-07-15T00:00:00.000000000Z,35,2,9512,134.870000000,135.880000000,133.850000000,135.840000000,213670,RSP
2022-07-15T00:00:00.000000000Z,35,2,11004,712.280000000,730.830000000,709.400000000,718.480000000,4720288,TSLA
2022-07-18T00:00:00.000000000Z,35,2,27,151.630000000,151.900000000,146.280000000,146.760000000,16918630,AAPL
2022-07-18T00:00:00.000000000Z,35,2,8165,71.130000000,71.690000000,70.150000000,70.160000000,619847,ORCL
2022-07-18T00:00:00.000000000Z,35,2,9510,137.000000000,137.290000000,134.810000000,135.220000000,201619,RSP
2022-07-18T00:00:00.000000000Z,35,2,7630,190.090000000,199.650000000,189.770000000,191.340000000,3928276,NFLX
2022-07-18T00:00:00.000000000Z,35,2,10300,388.270000000,389.380000000,380.660000000,382.930000000,7651248,SPY
2022-07-18T00:00:00.000000000Z,35,2,532,82.320000000,84.470000000,80.940000000,81.460000000,11024157,AMD
2022-07-18T00:00:00.000000000Z,35,2,7379,259.580000000,260.900000000,253.300000000,255.140000000,6691476,MSFT
2022-07-18T00:00:00.000000000Z,35,2,4588,26.080000000,26.340000000,25.650000000,25.750000000,2197129,GDX
2022-07-18T00:00:00.000000000Z,35,2,11001,732.000000000,751.510000000,718.780000000,723.780000000,5946612,TSLA
2022-07-18T00:00:00.000000000Z,35,2,589,115.000000000,117.240000000,113.140000000,114.090000000,12880391,AMZN
2022-07-18T00:00:00.000000000Z,35,2,7913,159.630000000,168.970000000,159.630000000,161.320000000,10657205,NVDA
2022-07-18T00:00:00.000000000Z,35,2,7078,166.170000000,171.685000000,165.660000000,167.980000000,6165255,META
2022-07-18T00:00:00.000000000Z,35,2,4855,113.240000000,113.900000000,108.370000000,109.130000000,11806127,GOOGL
2022-07-19T00:00:00.000000000Z,35,2,27,146.800000000,152.110000000,146.770000000,151.700000000,21582513,AAPL
2022-07-19T00:00:00.000000000Z,35,2,7378,255.340000000,260.450000000,253.680000000,259.550000000,10271268,MSFT
2022-07-19T00:00:00.000000000Z,35,2,532,81.500000000,87.230000000,81.400000000,87.140000000,10509199,AMD
2022-07-19T00:00:00.000000000Z,35,2,4588,25.820000000,26.290000000,25.700000000,26.020000000,1871937,GDX
2022-07-19T00:00:00.000000000Z,35,2,11000,725.030000000,743.800000000,711.000000000,741.440000000,5555249,TSLA
2022-07-19T00:00:00.000000000Z,35,2,8164,70.650000000,72.470000000,70.250000000,72.470000000,709995,ORCL
2022-07-19T00:00:00.000000000Z,35,2,589,114.000000000,119.220000000,113.710000000,118.850000000,14559426,AMZN
2022-07-19T00:00:00.000000000Z,35,2,7912,161.120000000,172.770000000,161.020000000,172.480000000,11181254,NVDA
2022-07-19T00:00:00.000000000Z,35,2,9509,136.560000000,139.430000000,136.560000000,139.150000000,204261,RSP
2022-07-19T00:00:00.000000000Z,35,2,7629,191.880000000,225.000000000,188.470000000,217.490000000,5429995,NFLX
2022-07-19T00:00:00.000000000Z,35,2,10299,382.490000000,393.400000000,382.490000000,393.020000000,9667633,SPY
2022-07-19T00:00:00.000000000Z,35,2,4855,109.660000000,114.700000000,109.080000000,114.280000000,10837241,GOOGL
2022-07-19T00:00:00.000000000Z,35,2,7075,167.310000000,178.580000000,167.110000000,178.000000000,6429840,META
2022-07-20T00:00:00.000000000Z,35,2,7073,177.220000000,183.830000000,175.610000000,181.730000000,6628937,META
2022-07-20T00:00:00.000000000Z,35,2,10296,392.590000000,396.250000000,390.900000000,394.210000000,9437344,SPY
2022-07-20T00:00:00.000000000Z,35,2,7910,170.800000000,179.330000000,168.040000000,176.690000000,11628454,NVDA
2022-07-20T00:00:00.000000000Z,35,2,7627,215.570000000,217.800000000,200.160000000,215.500000000,7934550,NFLX
2022-07-20T00:00:00.000000000Z,35,2,532,86.490000000,89.910000000,85.080000000,88.870000000,11980886,AMD
2022-07-20T00:00:00.000000000Z,35,2,27,151.450000000,153.720000000,150.370000000,152.660000000,15635304,AAPL
2022-07-20T00:00:00.000000000Z,35,2,589,118.740000000,123.470000000,117.990000000,122.400000000,14714869,AMZN
2022-07-20T00:00:00.000000000Z,35,2,9506,138.810000000,140.410000000,138.740000000,140.060000000,261144,RSP
2022-07-20T00:00:00.000000000Z,35,2,4853,114.000000000,115.400000000,112.480000000,113.850000000,11063648,GOOGL
2022-07-20T00:00:00.000000000Z,35,2,8162,72.260000000,73.090000000,71.900000000,72.570000000,629883,ORCL
2022-07-20T00:00:00.000000000Z,35,2,4586,26.110000000,26.260000000,25.230000000,25.330000000,2631789,GDX
2022-07-20T00:00:00.000000000Z,35,2,7376,259.540000000,264.860000000,257.850000000,260.320000000,7727180,MSFT
2022-07-20T00:00:00.000000000Z,35,2,10997,740.130000000,778.000000000,730.490000000,753.200000000,6415122,TSLA
2022-07-21T00:00:00.000000000Z,35,2,10994,755.600000000,819.810000000,750.710000000,809.100000000,9732174,TSLA
2022-07-21T00:00:00.000000000Z,35,2,7072,182.310000000,184.980000000,169.990000000,174.600000000,6961851,META
2022-07-21T00:00:00.000000000Z,35,2,589,122.140000000,124.850000000,121.270000000,123.550000000,12883280,AMZN
2022-07-21T00:00:00.000000000Z,35,2,4853,113.890000000,115.110000000,110.500000000,111.000000000,9580447,GOOGL
2022-07-21T00:00:00.000000000Z,35,2,7908,176.750000000,181.440000000,175.450000000,177.000000000,8670594,NVDA
2022-07-21T00:00:00.000000000Z,35,2,7374,260.100000000,265.160000000,257.020000000,264.000000000,7273072,MSFT
2022-07-21T00:00:00.000000000Z,35,2,7625,214.850000000,224.320000000,211.500000000,221.950000000,3828156,NFLX
2022-07-21T00:00:00.000000000Z,35,2,4586,25.200000000,25.890000000,24.950000000,25.790000000,2588040,GDX
2022-07-21T00:00:00.000000000Z,35,2,8160,72.580000000,74.980000000,72.140000000,74.980000000,965295,ORCL
2022-07-21T00:00:00.000000000Z,35,2,10294,394.150000000,399.030000000,391.640000000,396.970000000,8900857,SPY
2022-07-21T00:00:00.000000000Z,35,2,27,152.660000000,155.560000000,151.940000000,154.830000000,14584737,AAPL
2022-07-21T00:00:00.000000000Z,35,2,532,88.890000000,91.580000000,88.230000000,89.760000000,10385962,AMD
2022-07-21T00:00:00.000000000Z,35,2,9504,139.740000000,141.135000000,138.930000000,141.100000000,205747,RSP
2022-07-22T00:00:00.000000000Z,35,2,8157,74.230000000,75.290000000,74.140000000,74.710000000,859133,ORCL
2022-07-22T00:00:00.000000000Z,35,2,9503,141.610000000,141.970000000,139.460000000,140.300000000,178226,RSP
